Pattern,Vol/µl,[prot]/µM,No.concs,Shake time/s,Shake speed,Power,Plate ID
−−−−−+,10,2,4,10,200,4,210
−+−−−−,10,10,4,10,200,1,210
#ERROR!,50,10,12,10,200,1,210
#ERROR!,50,2,4,10,200,1,210
#ERROR!,50,10,12,10,200,4,210
−−+−−+,10,2,12,10,200,4,210
−+−−−+,10,10,4,10,200,4,210
#ERROR!,50,10,4,10,200,1,210
−++−−−,10,10,12,10,200,1,210
#ERROR!,50,10,4,10,200,4,210
−++−−+,10,10,12,10,200,4,210
#ERROR!,50,2,12,10,200,4,210
−−+−−−,10,2,12,10,200,1,210
#ERROR!,50,2,12,10,200,1,210
−−−−−−,10,2,4,10,200,1,210
#ERROR!,50,2,4,10,200,4,210