baseline,,sample,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.001192935044,800.0101318,0.002946085995,
799.0389404,-0.001012874884,799.0389404,0.001649450045,
798.0673218,0.001257417491,798.0673218,0.001204070868,
796.9564209,0.001192182302,796.9564209,0.002470112871,
795.9840088,0.0008151630173,795.9840088,0.0001293714449,
795.0111694,0.001048118225,795.0111694,0.0007516019396,
794.0380249,0.001500948216,794.0380249,0.001485051471,
793.0644531,0.001202746993,793.0644531,0.001846093102,
791.951355,0.001047469443,791.951355,0.003304745071,
790.9769897,-0.001139144064,790.9769897,0.001027126331,
790.0022583,-0.001054813736,790.0022583,0.001842635567,
789.0271606,-0.0006235592882,789.0271606,0.003204490989,
788.0516968,0.0003354563669,788.0516968,0.002664262895,
786.9364014,0.0009115207358,786.9364014,0.003166001989,
785.960144,-0.00104314147,785.960144,0.0003811309871,
784.9835205,-0.000121698773,784.9835205,0.001453571371,
784.0064697,0.0004164459824,784.0064697,0.003067656886,
783.0291138,0.001758338651,783.0291138,0.002769863233,
782.0513306,-0.0002168702631,782.0513306,0.002143019577,
780.9334717,-0.0002601795713,780.9334717,0.0007288093329,
779.9549561,-0.002012725919,779.9549561,0.0001041776341,
778.9760132,0.001669094781,778.9760132,0.002252734499,
777.9967651,0.002253905404,777.9967651,0.003498277161,
777.0170898,-0.000195343353,777.0170898,0.002047792776,
776.0371094,-0.0001150737662,776.0371094,0.002351051429,
775.0567017,0.002426638966,775.0567017,0.003645192599,
773.9358521,-0.000787875033,773.9358521,0.001309160842,
772.9547119,-0.001059668488,772.9547119,0.002526817843,
771.9731445,-0.002179813804,771.9731445,0.002046570415,
770.991272,0.0006731164758,770.991272,0.001487467089,
770.0090332,0.001008055522,770.0090332,0.003460388398,
769.0264282,0.001018278417,769.0264282,0.00185433391,
768.043396,0.0008370523574,768.043396,0.003266064683,
767.0600586,-0.001451895805,767.0600586,0.001841621706,
765.935791,-0.0005674636923,765.935791,0.001844221377,
764.9517212,-0.0002985179017,764.9517212,0.001405290677,
763.9672241,-0.0008304556832,763.9672241,0.0005507883616,
762.9823608,-0.001181948464,762.9823608,0.0008714706637,
761.9971924,-0.0002857905929,761.9971924,0.001582259429,
761.0116577,-0.001344762743,761.0116577,0.001958905486,
760.0256958,-0.00138377957,760.0256958,0.001750359428,
759.0394287,-0.00162703963,759.0394287,0.002726124832,
758.0527954,-0.0003344731813,758.0527954,0.002653870964,
757.0657959,0.0021524888,757.0657959,0.004306208808,
755.9373779,-0.0003773052595,755.9373779,0.002954556141,
754.949646,0.0002236864821,754.949646,0.003545512212,
753.9615479,0.0006562648341,753.9615479,0.002285365714,
752.9730835,-0.0003683046671,752.9730835,0.002059418475,
751.9842529,-1.501360202E-5,751.9842529,0.003534107469,
750.9950562,0.001498792204,750.9950562,0.002762568882,
750.0055542,0.00103273103,750.0055542,0.004134294111,
749.015625,0.000529431738,749.015625,0.001393448561,
748.0253906,0.00148323318,748.0253906,0.002819754882,
747.03479,-9.328300803E-5,747.03479,0.002186361002,
746.0438843,-0.0002387065615,746.0438843,0.003532045754,
745.0525513,0.001842687605,745.0525513,0.003335133661,
744.0609131,-0.0007219804684,744.0609131,0.002761943731,
743.0689087,0.0009467491764,743.0689087,0.003754739417,
741.9347534,0.0004799320886,741.9347534,0.002922578482,
740.9420166,-0.0001659491245,740.9420166,0.003181621432,
739.9489136,0.0004778848379,739.9489136,0.002856102539,
738.9554443,-0.0006902958266,738.9554443,0.00279125222,
737.9616699,0.001567165018,737.9616699,0.004104293883,
736.9675293,0.001517546945,736.9675293,0.003521554871,
735.9730225,0.0001451668795,735.9730225,0.003078945214,
734.9782104,-0.0002580581931,734.9782104,0.002664679661,
733.9830322,-4.421098492E-5,733.9830322,0.002966336673,
732.9874878,0.0006996397278,732.9874878,0.004539867397,
731.9915771,0.001105234609,731.9915771,0.004104607739,
730.9953613,0.000375353382,730.9953613,0.004162937403,
729.9987793,-0.0006601596833,729.9987793,0.001965406118,
729.0018921,0.000135430615,729.0018921,0.004604090005,
728.0046387,-0.0004006852105,728.0046387,0.003876824165,
727.007019,-0.0001873222354,727.007019,0.003991210368,
726.0090942,-0.0009932985995,726.0090942,0.002500443254,
725.0108032,-0.0005034490023,725.0108032,0.004582847003,
724.012146,-0.0001143491536,724.012146,0.003988885321,
723.0131836,-0.0002330664865,723.0131836,0.004115399905,
722.013855,-0.0009751160978,722.013855,0.004606078379,
721.0142212,0.000286470924,721.0142212,0.003415928222,
720.0142212,-0.0005111540086,720.0142212,0.002959325677,
719.013916,-0.0008298872854,719.013916,0.003953565843,
718.0131836,-0.0004047196708,718.0131836,0.003881969489,
717.012207,-0.0002899813408,717.012207,0.00389790209,
716.0108643,-0.001042521675,716.0108643,0.004439641722,
715.0091553,-0.0005819923826,715.0091553,0.004204834346,
714.0071411,0.0002282188798,714.0071411,0.004046468064,
713.0047607,-0.0003199362254,713.0047607,0.003930787556,
712.0020752,0.001771958079,712.0020752,0.003771607298,
710.9990234,0.0005950858467,710.9990234,0.004035990685,
709.9956665,-3.520349128E-5,709.9956665,0.0040243119,
708.9919434,-0.000883830653,708.9919434,0.003824565094,
707.987915,-0.0005816304474,707.987915,0.004364696797,
706.9835815,0.0003134627477,706.9835815,0.005129397381,
705.9788208,0.0003038522264,705.9788208,0.004686220083,
704.9738159,-0.0006911228411,704.9738159,0.004276144318,
703.9684448,-0.0003002769372,703.9684448,0.004619368818,
702.9627075,-0.0002060034458,702.9627075,0.004394898191,
701.956665,0.0002533680818,701.956665,0.004536336288,
700.9503174,-0.0006274366169,700.9503174,0.004150105175,
699.9436035,-0.0003629249113,699.9436035,0.004475235939,
698.9365845,0.0006928726216,698.9365845,0.00445447024,
697.9292603,-0.0001923419186,697.9292603,0.004265530501,
697.0655518,-0.0001430740667,697.0655518,0.004486246966,
696.0575562,0.0003294721246,696.0575562,0.004547008779,
695.0492554,-1.553155357E-6,695.0492554,0.004956921097,
694.0406494,0.000132867106,694.0406494,0.00535634486,
693.0316772,0.0002813421597,693.0316772,0.004765145946,
692.0223999,0.0003960287431,692.0223999,0.004693049472,
691.0128174,-7.620160613E-5,691.0128174,0.004873588216,
690.0028687,0.0004422020866,690.0028687,0.005121539347,
688.9926147,-1.863785769E-6,688.9926147,0.005863121245,
687.9819946,0.0001782096806,687.9819946,0.005275922827,
686.9711304,0.0001967520366,686.9711304,0.004604953341,
685.9598389,-4.560868183E-5,685.9598389,0.005095975939,
684.9483032,-0.0005567090702,684.9483032,0.004730810411,
683.9364624,-0.0002886878792,683.9364624,0.004528279416,
683.0688477,0.0006471911329,683.0688477,0.005742995068,
682.0563965,0.001108945813,682.0563965,0.005437700078,
681.0435791,0.0001301223674,681.0435791,0.004767684732,
680.0304565,8.043515118E-5,680.0304565,0.005321071483,
679.0170288,0.001015216694,679.0170288,0.006050893106,
678.0032349,0.0003204052337,678.0032349,0.005539310165,
676.9891357,-0.0005890238681,676.9891357,0.005928615574,
675.9747314,0.0007636080845,675.9747314,0.005381137598,
674.960022,-0.0005990539212,674.960022,0.004721546546,
673.9450073,-0.0001209224065,673.9450073,0.004964933265,
672.9296265,-0.0005790970172,672.9296265,0.00471330341,
672.059082,0.001470064279,672.059082,0.005978451576,
671.0431519,-0.0001509924914,671.0431519,0.006441209931,
670.0268555,-0.001015147544,670.0268555,0.005259992089,
669.0103149,0.001134742983,669.0103149,0.006925686728,
667.9934082,-7.382050535E-5,667.9934082,0.005907701328,
666.9761963,0.0008777477196,666.9761963,0.005960526876,
665.9586792,-0.00103038433,665.9586792,0.006351103541,
664.9407959,-0.000282944995,664.9407959,0.006425577682,
664.0681152,-0.0002248908277,664.0681152,0.006692160852,
663.0497437,0.0003589796252,663.0497437,0.007021700032,
662.0310059,-5.720422268E-5,662.0310059,0.006891153753,
661.0119629,0.0004233901273,661.0119629,0.006968824193,
659.9925537,0.0009368392639,659.9925537,0.007120181806,
658.9729004,-1.931050247E-5,658.9729004,0.006473710295,
657.9529419,-0.0004387008375,657.9529419,0.007722713053,
656.9326172,0.000292066019,656.9326172,0.007607471664,
656.0578613,0.0002645834174,656.0578613,0.007317685522,
655.0369873,0.0003231771116,655.0369873,0.007288123015,
654.0158081,-0.0002389135334,654.0158081,0.00593696069,
652.9943237,-0.0002246838412,652.9943237,0.006068165414,
651.9725342,-0.001651383936,651.9725342,0.00531824166,
650.9504395,-0.0004941407824,650.9504395,0.005974173546,
649.9280396,-0.0005150840734,649.9280396,0.006615354214,
649.0514526,-0.000141521421,649.0514526,0.00720631564,
648.0284424,-0.000527235854,648.0284424,0.006553277373,
647.005188,4.822823757E-5,647.005188,0.006434799172,
645.9815674,-0.0002205442142,645.9815674,0.007116892375,
644.9577026,0.0004340915766,644.9577026,0.007345565595,
643.9334717,-7.822034968E-5,643.9334717,0.006898412481,
643.0553589,9.30700262E-5,643.0553589,0.006399700884,
642.0306396,-0.000554899394,642.0306396,0.005958611146,
641.0055542,-0.0002539188717,641.0055542,0.00689191604,
639.9801636,-0.0001678121916,639.9801636,0.006732330658,
638.9545288,-0.0002063139254,638.9545288,0.006738824304,
637.9285278,-0.0003345249279,637.9285278,0.00650834199,
637.0488892,-0.0007189826574,637.0488892,0.00639486732,
636.0223999,-0.0006477531279,636.0223999,0.005934703629,
634.9955444,-0.0005468332092,634.9955444,0.006196442991,
633.9684448,3.290231325E-5,633.9684448,0.006933235563,
632.940979,-0.0001840102486,632.940979,0.00625744462,
632.0601196,0.001408718643,632.0601196,0.007482806221,
631.0321045,7.471333083E-5,631.0321045,0.00715981191,
630.0038452,-7.744391041E-5,630.0038452,0.006525264587,
628.9752808,0.0001993677142,628.9752808,0.007149653975,
627.9464111,-0.000480488321,627.9464111,0.005944833159,
627.06427,-0.0001638790272,627.06427,0.006389324088,
626.0348511,4.926379188E-5,626.0348511,0.005847746041,
625.005127,-0.0005585187464,625.005127,0.005843548104,
623.9750977,-0.0008154186071,623.9750977,0.006128702778,
622.9448242,-0.0002503486758,622.9448242,0.005725027528,
622.0614624,0.0006061026361,622.0614624,0.00704758754,
621.0306396,2.055394543E-5,621.0306396,0.006355358753,
619.9994507,0.0004713803355,619.9994507,0.007084107026,
618.9680176,-0.0004453725996,618.9680176,0.006599689834,
617.9362793,-8.142962179E-5,617.9362793,0.0064416565,
617.0517578,-0.0004408730601,617.0517578,0.006634252146,
616.0194702,3.406727046E-5,616.0194702,0.006738114636,
614.9868774,0.0003292648762,614.9868774,0.006721131038,
613.9540405,0.0004954033648,613.9540405,0.007290623616,
613.0685425,-0.0003149697732,613.0685425,0.007449255791,
612.0351563,-8.458710363E-5,612.0351563,0.007029908244,
611.0014648,0.0004655238008,611.0014648,0.007533189841,
609.9674683,-0.0001708655473,609.9674683,0.00739585422,
608.9332275,-4.902525689E-5,608.9332275,0.007995604537,
608.0465088,-0.001513861935,608.0465088,0.006619533524,
607.0117188,3.474035839E-5,607.0117188,0.00874591805,
605.9766235,1.338325183E-5,605.9766235,0.008993526921,
604.9412842,0.0005694243591,604.9412842,0.009866091423,
604.0535889,0.000517872686,604.0535889,0.009131738916,
603.0177002,-1.848218744E-5,603.0177002,0.009486787021,
601.9815674,-0.0004972952302,601.9815674,0.008969768882,
600.9450684,0.000538425229,600.9450684,0.0101466924,
600.0564575,-0.0002469854371,600.0564575,0.009961829521,
599.0194702,-0.0001769204391,599.0194702,0.009737281129,
597.9822388,2.731055611E-5,597.9822388,0.01043410413,
596.9446411,0.000817730499,596.9446411,0.01157289557,
596.0551147,-0.00028982613,596.0551147,0.01076416112,
595.0170288,1.887128019E-5,595.0170288,0.0121821994,
593.9786987,-0.0003456471895,593.9786987,0.01201496366,
592.9400635,0.0004692294751,592.9400635,0.01391664427,
592.0495605,2.019152453E-5,592.0495605,0.01442315802,
591.010437,-0.0001923419186,591.010437,0.01447143592,
589.9710083,0.0002839324297,589.9710083,0.01549268328,
588.9312744,0.0008958530379,588.9312744,0.01607283577,
588.039917,0.0002127312036,588.039917,0.01805230975,
586.9996948,1.183004861E-5,586.9996948,0.01831640862,
585.9591675,7.662314601E-6,585.9591675,0.01987492107,
585.0670776,0.0001230534399,585.0670776,0.02130115964,
584.026062,0.0002083543513,584.026062,0.02298467234,
582.9848022,0.0009064364713,582.9848022,0.02437115088,
581.9432373,0.0001723052992,581.9432373,0.02519725449,
581.0502319,-3.142442802E-5,581.0502319,0.02766658179,
580.0081787,-0.0001037385737,580.0081787,0.02849663422,
578.9658203,2.472180313E-5,578.9658203,0.03016212769,
578.0721436,-0.0002137137344,578.0721436,0.03198539093,
577.0292969,-0.0005651370157,577.0292969,0.03300427645,
575.9862061,0.000910820323,575.9862061,0.03416334838,
574.9428101,-0.0006773732021,574.9428101,0.03473190218,
574.0482178,0.000304396206,574.0482178,0.03739747405,
573.0043335,0.0008209205116,573.0043335,0.03793731332,
571.960144,0.0005885018618,571.960144,0.03782119602,
571.0649414,0.0005819957005,571.0649414,0.03834256157,
570.0202637,-0.000535405823,570.0202637,0.03887726739,
568.9753418,-0.00122206402,568.9753418,0.03794335946,
567.9301147,-0.0008151602233,567.9301147,0.03761279956,
567.0339966,-0.0009056334966,567.0339966,0.03770327568,
565.9882813,-0.0001883572259,565.9882813,0.03745314106,
564.9423218,0.0005469005555,564.9423218,0.03785463795,
564.0455933,-0.0003008977801,564.0455933,0.03544669971,
562.9990845,0.0001887238177,562.9990845,0.03646088019,
561.9523926,0.000779659953,561.9523926,0.03534107655,
561.0549927,0.00053736259,561.0549927,0.03559303284,
560.0077515,0.0002489649341,560.0077515,0.03410084546,
558.9602661,0.0005103050498,558.9602661,0.03378038853,
558.0621948,0.000200869792,558.0621948,0.03332103416,
557.0142212,0.0005157475243,557.0142212,0.03292725235,
555.9659424,8.54579921E-5,555.9659424,0.0315628089,
555.0672607,-0.0003071578103,555.0672607,0.03153177351,
554.0185547,0.0002231943945,554.0185547,0.03180528432,
552.9695435,-0.0001474214514,552.9695435,0.03158438578,
552.0701904,-0.0003097963054,552.0701904,0.03195429593,
551.020752,-0.0002616800484,551.020752,0.03205031902,
549.9710083,-0.0002227175282,549.9710083,0.03202969953,
549.0710449,-0.0007799165323,549.0710449,0.03271546587,
548.020813,0.0003585650993,548.020813,0.03411092609,
546.9703369,-0.0002303240326,546.9703369,0.03357601538,
546.0697021,0.0008923771675,546.0697021,0.03412019461,
545.0187988,0.00125949434,545.0187988,0.03489412367,
543.9675903,9.71350164E-5,543.9675903,0.03586318344,
543.0663452,-1.739502295E-5,543.0663452,0.03569444641,
542.0146484,9.304413834E-5,542.0146484,0.03673312441,
540.9627075,0.0001060159775,540.9627075,0.03648382798,
540.0608521,-0.0001362423645,540.0608521,0.03743093461,
539.0084229,-0.0004565437557,539.0084229,0.03721392527,
537.9557495,-0.0005751675926,537.9557495,0.03729935735,
537.0532837,-0.0005749607808,537.0532837,0.03741383553,
536.0001221,-0.0006255754852,536.0001221,0.0375681147,
534.9467163,9.060183402E-6,534.9467163,0.03745390475,
534.0436401,6.658381608E-5,534.0436401,0.03717684001,
532.9897461,-6.253599713E-5,532.9897461,0.03681375459,
531.9356689,-0.0002780298237,531.9356689,0.03694158047,
531.0319214,-8.691638504E-5,531.0319214,0.03584622964,
529.977356,-0.0001133657424,529.977356,0.03545697778,
529.0732422,-0.0001053948727,529.0732422,0.03524892405,
528.0181885,-0.0002983109734,528.0181885,0.03463797644,
526.9628906,2.153766036E-5,526.9628906,0.03380861878,
526.0581665,-0.0005607421044,526.0581665,0.03309377283,
525.0023804,-0.0002088495385,525.0023804,0.03273734823,
523.9464111,-7.268171612E-5,523.9464111,0.0319346264,
523.0410767,-0.0002486929297,523.0410767,0.03132561594,
521.9846191,-9.493935067E-5,521.9846191,0.03085976467,
520.9279175,-9.147138189E-5,520.9279175,0.03064237162,
520.0219727,-1.993173828E-5,520.0219727,0.02929922752,
518.9647827,0.0001496466721,518.9647827,0.0287822932,
518.0584717,-0.0003341110714,518.0584717,0.02766153216,
517.0008545,0.0004551584425,517.0008545,0.0271631591,
515.9429932,-4.617811283E-5,515.9429932,0.02651743405,
515.0360718,-0.0002840314992,515.0360718,0.02575481683,
513.9777222,-2.391797534E-5,513.9777222,0.02531736903,
513.0704346,-3.121735426E-5,513.0704346,0.02530277148,
512.0116577,-0.0002066244051,512.0116577,0.02448408119,
510.9526672,0.0001853053982,510.9526672,0.02470805682,
510.0447693,0.001042357646,510.0447693,0.02482025139,
508.985321,-6.584890798E-5,508.985321,0.02416527271,
507.9256287,-7.169821038E-5,507.9256287,0.0235500019,
507.0171204,-0.0005619830335,507.0171204,0.02271646634,
505.9570007,-2.847447149E-6,505.9570007,0.02267620899,
505.0481262,2.143411075E-5,505.0481262,0.02286757529,
503.9875488,0.000111298039,503.9875488,0.02363915741,
502.9267273,-8.101552521E-5,502.9267273,0.02245622315,
502.0172729,1.579046966E-6,502.0172729,0.02265946381,
500.9560242,-0.000541093701,500.9560242,0.02225106023,
500.0462036,-0.0001772309479,500.0462036,0.02238099277,
498.9844971,-0.0006583504146,498.9844971,0.02147478424,
498.0742798,-0.0006251619197,498.0742798,0.02151601948,
497.012146,3.546392236E-6,497.012146,0.02200389281,
495.9497986,8.620882727E-5,495.9497986,0.02204092965,
495.0390015,2.712934293E-5,495.0390015,0.02182621695,
493.9762268,-1.584192432E-5,493.9762268,0.0220986139,
493.0650635,8.765873645E-5,493.0650635,0.02195980772,
492.0018311,-7.790977543E-5,492.0018311,0.02194698341,
490.9383545,0.0003014431568,490.9383545,0.02235738933,
490.0266418,0.0004332105746,490.0266418,0.02251297981,
488.9627686,-0.0001642930438,488.9627686,0.02214889601,
488.0506592,-6.730346627E-7,488.0506592,0.02276736684,
486.9863586,-0.0007609499153,486.9863586,0.02186416462,
486.0738831,9.172366845E-5,486.0738831,0.02253280208,
